Year,Home_Team,Away_Team,elo_H,elo_A
2011,LAC,GB,1548.124,1735.27
2011,PHI,CHI,1548.142,1561.682
2011,LAC,OAK,1535.078,1448.017
2011,NYJ,NE,1620.468,1645.445
2011,PHI,ARI,1525.287,1362.353
2011,SEA,BAL,1395.468,1645.464
2011,CIN,PIT,1555.811,1626.057
2011,SF,NYG,1586.623,1567.302
2011,TB,HOU,1492.971,1577.041
2011,CLE,LAR,1404.832,1352.108
2011,CAR,TEN,1376.91,1468.448
2011,IND,JAX,1376.727,1413.19
2011,DAL,BUF,1501.313,1500.383
2011,MIA,WAS,1436.824,1395.484
2011,CHI,DET,1584.537,1539.539
2011,KC,DEN,1450.228,1400.17
2011,ATL,NO,1600.011,1584.132
2011,GB,MIN,1748.317,1435.925
2011,DEN,NYJ,1429.124,1585.374
2011,LAR,SEA,1361.822,1424.563
2011,GB,TB,1754.712,1461.418
2011,CLE,JAX,1395.118,1442.875
2011,MIN,OAK,1429.53,1479.552
2011,NYG,PHI,1552.042,1496.996
2011,BAL,CIN,1616.37,1535.379
2011,SF,ARI,1601.883,1390.645
2011,WAS,DAL,1378.817,1530.008
2011,ATL,TEN,1582.328,1498.863
2011,CHI,LAC,1605.799,1503.542
2011,MIA,BUF,1453.491,1471.688
2011,DET,CAR,1518.277,1346.495
2011,NE,KC,1680.539,1421.274
2011,DAL,MIA,1540.105,1481.75
2011,DET,GB,1528.24,1759.179
2011,BAL,SF,1628.126,1610.409
2011,CIN,CLE,1523.622,1410.295
2011,ATL,MIN,1593.209,1409.094
2011,PHI,NE,1526.301,1688.63
2011,SEA,WAS,1453.684,1368.72
2011,NYJ,BUF,1564.272,1443.429
2011,LAR,ARI,1332.7,1382.119
2011,KC,PIT,1413.183,1646.488
2011,TEN,TB,1487.981,1456.951
2011,IND,CAR,1347.042,1336.532
2011,JAX,HOU,1427.697,1608.594
2011,OAK,CHI,1499.989,1618.562
2011,LAC,DEN,1490.78,1450.226
2011,NO,NYG,1601.815,1522.737
2011,SEA,PHI,1424.309,1505.803
2011,SF,LAR,1592.699,1318.113
2011,TB,CAR,1443.332,1364.154
2011,PIT,CIN,1654.715,1530.387
2011,NYG,GB,1504.159,1772.432
2011,NE,IND,1709.128,1319.42
2011,NO,DET,1620.393,1514.987
2011,MIN,DEN,1400.802,1469.08
2011,MIA,OAK,1477.424,1521.163
2011,HOU,ATL,1621.992,1601.501
2011,ARI,DAL,1396.706,1544.431
2011,CLE,BAL,1403.531,1645.836
2011,WAS,NYJ,1398.095,1571.854
2011,CHI,KC,1597.387,1404.957
2011,BUF,TEN,1435.847,1501.6
2011,JAX,LAC,1414.299,1471.926
2011,PIT,CLE,1670.319,1390.254
2011,CIN,HOU,1514.782,1637.181
2011,DAL,NYG,1519.487,1498.148
2011,ARI,SF,1421.651,1599.782
2011,LAC,BUF,1504.908,1416.437
2011,WAS,NE,1379.686,1711.473
2011,BAL,IND,1659.113,1317.076
2011,TEN,NO,1521.011,1634.102
2011,NYJ,KC,1590.263,1443.337
2011,MIA,PHI,1505.735,1475.3
2011,JAX,TB,1381.317,1398.685
2011,GB,OAK,1778.443,1492.852
2011,DET,MIN,1501.278,1387.09
2011,CAR,ATL,1408.802,1586.312
2011,DEN,CHI,1482.792,1559.007
2011,SEA,LAR,1454.813,1311.03
2011,ATL,JAX,1600.674,1409.489
2011,TB,DAL,1370.513,1501.544
2011,LAR,CIN,1298.826,1509.133
2011,BUF,MIA,1398.217,1468.181
2011,CHI,SEA,1544.624,1467.016
2011,IND,TEN,1313.072,1505.888
2011,LAC,BAL,1523.128,1663.118
2011,NYG,WAS,1516.091,1373.115
2011,PHI,NYJ,1512.853,1604.12
2011,OAK,DET,1485.903,1510.736
2011,MIN,NO,1377.633,1649.224
2011,KC,GB,1429.481,1785.392
2011,DEN,NE,1497.175,1718.044
2011,ARI,CLE,1436.876,1385.071
2011,HOU,CAR,1642.83,1394.44
2011,SF,PIT,1584.557,1675.502
2011,IND,HOU,1351.947,1587.308
2011,BAL,CLE,1624.899,1376.173
2011,CIN,ARI,1520.926,1445.774
2011,CAR,TB,1449.962,1348.172
2011,WAS,MIN,1417.885,1364.253
2011,SEA,SF,1514.821,1615.985
2011,BUF,DEN,1377.766,1481.249
2011,TEN,JAX,1467.013,1398.372
2011,DET,LAC,1518.609,1561.347
2011,PIT,LAR,1644.073,1287.034
2011,NYJ,NYG,1568.246,1471.321
